city,country,region,main_attraction,target_keyword
Novi Sad,Serbia,Europe,Petrovaradin Fortress,best boutique city center hotels in Novi Sad
Subotica,Serbia,Europe,Raichle Palace,best luxury boutique stays in Subotica
Eger,Hungary,Europe,Eger Castle,best boutique city center hotels in Eger
Szeged,Hungary,Europe,Votive Church,best boutique city center hotels in Szeged
Graz,Austria,Europe,Schlossberg,best boutique city center hotels in Graz
Innsbruck,Austria,Europe,Golden Roof,top sustainable eco lodges in Innsbruck
Thun,Switzerland,Europe,Thun Castle,best luxury boutique stays in Thun
Grindelwald,Switzerland,Europe,Mount Eiger,top sustainable eco lodges in Grindelwald
Interlaken,Switzerland,Europe,Harder Kulm,top sustainable eco lodges in Interlaken
Chamonix,France,Europe,Mont Blanc,top sustainable eco lodges in Chamonix
Taormina,Italy,Europe,Teatro Antico di Taormina,best affordable beachfront hotels in Taormina
Volterra,Italy,Europe,Palazzo dei Priori,best boutique city center hotels in Volterra
Lucca,Italy,Europe,Guinigi Tower,best boutique city center hotels in Lucca
Cadiz,Spain,Europe,La Caleta Beach,best affordable beachfront hotels in Cadiz
Cuenca,Spain,Europe,Hanging Houses (Casas Colgadas),best luxury boutique stays in Cuenca
